op_name,running time percentage
nn_conv2d,72.167
nn_avg_pool2d,1.1249999999999998
nn_relu,3.1649999999999987
add,8.287000000000003
multiply,5.674999999999989
divide,2.631000000000004
negative,2.5289999999999937
sqrt,2.5459999999999963
