op_name,op_time,op_proportion
nn.conv2d,1646745608.0918417,99.595778%
nn.batch_norm,3179140.4814727255,0.192276%
nn.leaky_relu,1995159.5875796007,0.120668%
add,1110721.2564381023,0.067177%
nn.upsampling,40015.49914320567,0.002420%
tuple,49.04420048305916,0.000003%
nn.bias_add,54062.869332543385,0.003270%
concatenate,145165.46595997212,0.008780%
reshape,38.428231640674,0.000002%
split,82506.20208083761,0.004990%
sigmoid,76663.55454359023,0.004637%
