op_name,op_time,op_proportion
split,1696309.9363961392,2.462499%
strided_slice,39569.62298098506,0.057442%
squeeze,727.9573079650435,0.001057%
tuple,1427.0890063625936,0.002072%
concatenate,3758847.2790278657,5.456643%
nn.dense,52935671.33825036,76.845652%
add,2578179.950611596,3.742692%
sigmoid,3005620.7252287497,4.363199%
tanh,2376013.2256771615,3.449211%
multiply,2470842.4076349125,3.586872%
expand_dims,38.25008919826605,0.000056%
stack,22460.31117235268,0.032605%
