op_name,op_time,op_proportion
split,436850.3653053063,11.341961%
strided_slice,19836.43135681012,0.515014%
squeeze,153.944207463919,0.003997%
tuple,222.70057930810663,0.005782%
concatenate,143812.8530646609,3.733818%
nn.dense,2683511.543849209,69.672100%
add,182704.27651693986,4.743557%
sigmoid,133289.62381637344,3.460603%
tanh,87646.12687854607,2.275559%
multiply,150466.59874812124,3.906569%
expand_dims,38.681860315261844,0.001004%
stack,13096.89715907747,0.340035%
