op_name,op_time,op_proportion
strided_slice,13885.129520479186,0.981385%
split,267673.0204774733,18.918828%
squeeze,140.37077777843427,0.009921%
tuple,85.21331907020306,0.006023%
concatenate,62936.10984307081,4.448254%
nn.dense,217222.23073802984,15.353023%
add,417069.34623459645,29.477993%
sigmoid,138996.2599928744,9.824100%
multiply,139355.83095088525,9.849514%
tanh,74206.92742546258,5.244862%
subtract,69302.04820116793,4.898191%
expand_dims,25.49515823404723,0.001802%
stack,13951.889810999728,0.986104%
