op_name,op_time,op_proportion
split,1077007.1108731916,27.477853%
strided_slice,15470.176616767501,0.394693%
squeeze,346.4943819239037,0.008840%
tuple,621.2182155221378,0.015849%
concatenate,440585.7018696075,11.240733%
nn.dense,323227.5456164703,8.246556%
add,542425.6414412804,13.838991%
sigmoid,603889.7064242178,15.407134%
tanh,400934.49380545225,10.229105%
multiply,503453.55521091365,12.844690%
expand_dims,38.93015294073494,0.000993%
stack,11545.471588546825,0.294561%
