op_name,op_time,op_proportion
split,996421.2645627756,11.598332%
strided_slice,125991.78824757814,1.466543%
squeeze,924.3489344115918,0.010759%
tuple,1198.9366452424513,0.013956%
concatenate,1249462.0368946379,14.543723%
nn.dense,686570.369604536,7.991671%
add,1492073.0059915364,17.367712%
sigmoid,1496320.9153580396,17.417158%
tanh,994916.6561850089,11.580818%
multiply,1493161.899329042,17.380387%
expand_dims,160.7945086513739,0.001872%
stack,53871.94901545845,0.627069%
