Evaluate inference time cost...
get Get outputs
start to dump
start to json
Node Name                                  Ops                                        Time(us)  Time(%)  Shape              Inputs  Outputs  
tvmgen_default_fused_multiply_582          tvmgen_default_fused_multiply_5            8.707      0.029    (256,)             2       1        
tvmgen_default_fused_multiply_529          tvmgen_default_fused_multiply_5            8.704      0.029    (256,)             2       1        
tvmgen_default_fused_multiply_75           tvmgen_default_fused_multiply_7            8.703      0.029    (128,)             2       1        
tvmgen_default_fused_add_913               tvmgen_default_fused_add_9                 8.702      0.029    (256,)             2       1        
tvmgen_default_fused_add_940               tvmgen_default_fused_add_9                 8.699      0.029    (256,)             2       1        
tvmgen_default_fused_multiply_594          tvmgen_default_fused_multiply_5            8.697      0.029    (256,)             2       1        
tvmgen_default_fused_negative_235          tvmgen_default_fused_negative_2            8.695      0.029    (256,)             1       1        
tvmgen_default_fused_sqrt_214              tvmgen_default_fused_sqrt_2                8.692      0.029    (256,)             1       1        
tvmgen_default_fused_multiply_919          tvmgen_default_fused_multiply_9            8.692      0.029    (512,)             2       1        
tvmgen_default_fused_multiply_77           tvmgen_default_fused_multiply_7            8.69       0.029    (128,)             2       1        
tvmgen_default_fused_multiply_526          tvmgen_default_fused_multiply_5            8.69       0.029    (256,)             2       1        
tvmgen_default_fused_multiply_911          tvmgen_default_fused_multiply_9            8.69       0.029    (512,)             2       1        
tvmgen_default_fused_negative_247          tvmgen_default_fused_negative_2            8.689      0.029    (256,)             1       1        
tvmgen_default_fused_multiply_565          tvmgen_default_fused_multiply_5            8.687      0.029    (256,)             2       1        
tvmgen_default_fused_multiply_596          tvmgen_default_fused_multiply_5            8.684      0.029    (256,)             2       1        
tvmgen_default_fused_multiply_97           tvmgen_default_fused_multiply_9            8.677      0.028    (512,)             2       1        
tvmgen_default_fused_multiply_556          tvmgen_default_fused_multiply_5            8.676      0.028    (256,)             2       1        
tvmgen_default_fused_negative_245          tvmgen_default_fused_negative_2            8.675      0.028    (256,)             1       1        
tvmgen_default_fused_multiply_95           tvmgen_default_fused_multiply_9            8.674      0.028    (512,)             2       1        
tvmgen_default_fused_negative_226          tvmgen_default_fused_negative_2            8.674      0.028    (256,)             1       1        
tvmgen_default_fused_multiply_537          tvmgen_default_fused_multiply_5            8.664      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_59           tvmgen_default_fused_multiply_5            8.662      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_546          tvmgen_default_fused_multiply_5            8.659      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_568          tvmgen_default_fused_multiply_5            8.65       0.028    (256,)             2       1        
tvmgen_default_fused_multiply_589          tvmgen_default_fused_multiply_5            8.644      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_57           tvmgen_default_fused_multiply_5            8.643      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_521          tvmgen_default_fused_multiply_5            8.642      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_213          tvmgen_default_fused_multiply_2            8.641      0.028    (64,)              2       1        
tvmgen_default_fused_multiply_29           tvmgen_default_fused_multiply_2            8.639      0.028    (64,)              2       1        
tvmgen_default_fused_multiply_559          tvmgen_default_fused_multiply_5            8.635      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_577          tvmgen_default_fused_multiply_5            8.627      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_563          tvmgen_default_fused_multiply_5            8.622      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_579          tvmgen_default_fused_multiply_5            8.614      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_595          tvmgen_default_fused_multiply_5            8.612      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_597          tvmgen_default_fused_multiply_5            8.611      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_711          tvmgen_default_fused_multiply_7            8.61       0.028    (128,)             2       1        
tvmgen_default_fused_multiply_535          tvmgen_default_fused_multiply_5            8.602      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_569          tvmgen_default_fused_multiply_5            8.596      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_533          tvmgen_default_fused_multiply_5            8.585      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_553          tvmgen_default_fused_multiply_5            8.579      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_215          tvmgen_default_fused_multiply_2            8.578      0.028    (64,)              2       1        
tvmgen_default_fused_multiply_545          tvmgen_default_fused_multiply_5            8.57       0.028    (256,)             2       1        
tvmgen_default_fused_multiply_73           tvmgen_default_fused_multiply_7            8.569      0.028    (128,)             2       1        
tvmgen_default_fused_multiply_581          tvmgen_default_fused_multiply_5            8.566      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_555          tvmgen_default_fused_multiply_5            8.565      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_593          tvmgen_default_fused_multiply_5            8.564      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_523          tvmgen_default_fused_multiply_5            8.563      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_540          tvmgen_default_fused_multiply_5            8.563      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_539          tvmgen_default_fused_multiply_5            8.554      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_583          tvmgen_default_fused_multiply_5            8.552      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_211          tvmgen_default_fused_multiply_2            8.549      0.028    (64,)              2       1        
tvmgen_default_fused_multiply_591          tvmgen_default_fused_multiply_5            8.549      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_527          tvmgen_default_fused_multiply_5            8.54       0.028    (256,)             2       1        
tvmgen_default_fused_multiply_79           tvmgen_default_fused_multiply_7            8.539      0.028    (128,)             2       1        
tvmgen_default_fused_multiply_713          tvmgen_default_fused_multiply_7            8.538      0.028    (128,)             2       1        
tvmgen_default_fused_multiply_531          tvmgen_default_fused_multiply_5            8.536      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_561          tvmgen_default_fused_multiply_5            8.536      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_571          tvmgen_default_fused_multiply_5            8.533      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_551          tvmgen_default_fused_multiply_5            8.532      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_715          tvmgen_default_fused_multiply_7            8.531      0.028    (128,)             2       1        
tvmgen_default_fused_multiply_541          tvmgen_default_fused_multiply_5            8.523      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_99           tvmgen_default_fused_multiply_9            8.514      0.028    (512,)             2       1        
tvmgen_default_fused_multiply_557          tvmgen_default_fused_multiply_5            8.513      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_567          tvmgen_default_fused_multiply_5            8.502      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_547          tvmgen_default_fused_multiply_5            8.495      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_587          tvmgen_default_fused_multiply_5            8.473      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_585          tvmgen_default_fused_multiply_5            8.453      0.028    (256,)             2       1        
tvmgen_default_fused_multiply_71           tvmgen_default_fused_multiply_7            8.452      0.028    (128,)             2       1        
reshape_nop                                __nop                                      2.777      0.009    (64, 1, 1)         1       1        
reshape_nop                                __nop                                      1.738      0.006    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.377      0.005    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.315      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.312      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.269      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.256      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.256      0.004    (2048, 1, 1)       1       1        
reshape_nop                                __nop                                      1.255      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.254      0.004    (2048, 1, 1)       1       1        
reshape_nop                                __nop                                      1.252      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.25       0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.25       0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.248      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.246      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.246      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.245      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.244      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.242      0.004    (2048, 1, 1)       1       1        
reshape_nop                                __nop                                      1.24       0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.239      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.235      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.235      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.231      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.23       0.004    (64, 1, 1)         1       1        
reshape_nop                                __nop                                      1.227      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.223      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.218      0.004    (2048, 1, 1)       1       1        
reshape_nop                                __nop                                      1.216      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.216      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.212      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.209      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.199      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.192      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.192      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.187      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.187      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.186      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.175      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.175      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.174      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.174      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.173      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.173      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.173      0.004    (2048, 1, 1)       1       1        
reshape_nop                                __nop                                      1.172      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.172      0.004    (128, 1, 1)        1       1        
reshape_nop                                __nop                                      1.172      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.172      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.172      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.171      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.171      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.17       0.004    (128, 1, 1)        1       1        
reshape_nop                                __nop                                      1.17       0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.169      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.169      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.169      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.169      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.168      0.004    (128, 1, 1)        1       1        
reshape_nop                                __nop                                      1.168      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.168      0.004    (128, 1, 1)        1       1        
reshape_nop                                __nop                                      1.168      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.168      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.168      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.168      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.168      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.167      0.004    (64, 1, 1)         1       1        
reshape_nop                                __nop                                      1.167      0.004    (128, 1, 1)        1       1        
reshape_nop                                __nop                                      1.167      0.004    (128, 1, 1)        1       1        
reshape_nop                                __nop                                      1.167      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.167      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.167      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.167      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.166      0.004    (3, 1, 1)          1       1        
reshape_nop                                __nop                                      1.166      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.166      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.165      0.004    (64, 1, 1)         1       1        
reshape_nop                                __nop                                      1.165      0.004    (128, 1, 1)        1       1        
reshape_nop                                __nop                                      1.165      0.004    (128, 1, 1)        1       1        
reshape_nop                                __nop                                      1.165      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.165      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.165      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.165      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.164      0.004    (128, 1, 1)        1       1        
reshape_nop                                __nop                                      1.163      0.004    (128, 1, 1)        1       1        
reshape_nop                                __nop                                      1.163      0.004    (128, 1, 1)        1       1        
reshape_nop                                __nop                                      1.163      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.163      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.163      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.163      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.162      0.004    (3, 1, 1)          1       1        
reshape_nop                                __nop                                      1.162      0.004    (64, 1, 1)         1       1        
reshape_nop                                __nop                                      1.162      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.162      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.162      0.004    (128, 1, 1)        1       1        
reshape_nop                                __nop                                      1.162      0.004    (128, 1, 1)        1       1        
reshape_nop                                __nop                                      1.162      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.162      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.162      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.162      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.162      0.004    (2048, 1, 1)       1       1        
reshape_nop                                __nop                                      1.161      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.161      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.161      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.161      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.161      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.161      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.161      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.161      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.161      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.161      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.16       0.004    (128, 1, 1)        1       1        
reshape_nop                                __nop                                      1.16       0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.16       0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.16       0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.16       0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.159      0.004    (128, 1, 1)        1       1        
reshape_nop                                __nop                                      1.159      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.159      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.159      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.159      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.159      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.159      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.158      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.158      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.158      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.158      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.158      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.158      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.157      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.157      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.157      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.157      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.157      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.156      0.004    (64, 1, 1)         1       1        
reshape_nop                                __nop                                      1.156      0.004    (64, 1, 1)         1       1        
reshape_nop                                __nop                                      1.156      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.156      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.156      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.156      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.156      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.156      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.156      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.155      0.004    (64, 1, 1)         1       1        
reshape_nop                                __nop                                      1.155      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.155      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.155      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.154      0.004    (128, 1, 1)        1       1        
reshape_nop                                __nop                                      1.154      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.154      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.154      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.154      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.154      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.154      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.153      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.153      0.004    (64, 1, 1)         1       1        
reshape_nop                                __nop                                      1.153      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.153      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.153      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.153      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.153      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.152      0.004    (64, 1, 1)         1       1        
reshape_nop                                __nop                                      1.152      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.152      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.152      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.152      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.152      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.152      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.151      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.151      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.151      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.151      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.151      0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.151      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.15       0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.15       0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.15       0.004    (1024, 1, 1)       1       1        
reshape_nop                                __nop                                      1.149      0.004    (64, 1, 1)         1       1        
reshape_nop                                __nop                                      1.149      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.149      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.148      0.004    (64, 1, 1)         1       1        
reshape_nop                                __nop                                      1.148      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.148      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.147      0.004    (64, 1, 1)         1       1        
reshape_nop                                __nop                                      1.147      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.147      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.147      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.146      0.004    (64, 1, 1)         1       1        
reshape_nop                                __nop                                      1.146      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.145      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.145      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.145      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.145      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.144      0.004    (64, 1, 1)         1       1        
reshape_nop                                __nop                                      1.143      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.143      0.004    (512, 1, 1)        1       1        
reshape_nop                                __nop                                      1.142      0.004    (64, 1, 1)         1       1        
reshape_nop                                __nop                                      1.142      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.141      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.141      0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.14       0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.14       0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.14       0.004    (256, 1, 1)        1       1        
reshape_nop                                __nop                                      1.138      0.004    (256, 1, 1)        1       1        
Total_time                                 -                                          30446.117  -        -                  -       -        
Evaluate inference time cost...
get Get outputs
start to dump
start to json
Node Name                                  Ops                                        Time(us)   Time(%)  Shape              Inputs  Outputs  
---------                                  ---                                        --------   -------  -----              ------  -------  
tvmgen_default_fused_nn_conv2d_18          tvmgen_default_fused_nn_conv2d_18          620.65     1.532    (1, 2048, 7, 7)    2       1        
tvmgen_default_fused_nn_conv2d_19          tvmgen_default_fused_nn_conv2d_19          376.811    0.93     (1, 512, 7, 7)     2       1        
tvmgen_default_fused_nn_conv2d_191         tvmgen_default_fused_nn_conv2d_19          375.613    0.927    (1, 512, 7, 7)     2       1        
tvmgen_default_fused_nn_conv2d_8           tvmgen_default_fused_nn_conv2d_8           362.509    0.895    (1, 512, 28, 28)   2       1        
tvmgen_default_fused_nn_conv2d_13          tvmgen_default_fused_nn_conv2d_13          324.238    0.801    (1, 1024, 14, 14)  2       1        
tvmgen_default_fused_nn_conv2d_16          tvmgen_default_fused_nn_conv2d_16          291.72     0.72     (1, 512, 7, 7)     2       1        
tvmgen_default_fused_nn_conv2d_162         tvmgen_default_fused_nn_conv2d_16          288.91     0.713    (1, 512, 7, 7)     2       1        
tvmgen_default_fused_nn_conv2d_161         tvmgen_default_fused_nn_conv2d_16          288.419    0.712    (1, 512, 7, 7)     2       1        
tvmgen_default_fused_nn_conv2d_14          tvmgen_default_fused_nn_conv2d_14          206.522    0.51     (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_148         tvmgen_default_fused_nn_conv2d_14          206.438    0.51     (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_143         tvmgen_default_fused_nn_conv2d_14          206.384    0.51     (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_145         tvmgen_default_fused_nn_conv2d_14          206.357    0.51     (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_147         tvmgen_default_fused_nn_conv2d_14          206.353    0.51     (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_144         tvmgen_default_fused_nn_conv2d_14          206.271    0.509    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1419        tvmgen_default_fused_nn_conv2d_14          206.23     0.509    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1415        tvmgen_default_fused_nn_conv2d_14          206.144    0.509    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_142         tvmgen_default_fused_nn_conv2d_14          206.134    0.509    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1412        tvmgen_default_fused_nn_conv2d_14          206.131    0.509    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_146         tvmgen_default_fused_nn_conv2d_14          206.121    0.509    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_149         tvmgen_default_fused_nn_conv2d_14          206.106    0.509    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1420        tvmgen_default_fused_nn_conv2d_14          206.082    0.509    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1413        tvmgen_default_fused_nn_conv2d_14          205.995    0.509    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1426        tvmgen_default_fused_nn_conv2d_14          205.936    0.508    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1417        tvmgen_default_fused_nn_conv2d_14          205.908    0.508    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1424        tvmgen_default_fused_nn_conv2d_14          205.903    0.508    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_141         tvmgen_default_fused_nn_conv2d_14          205.893    0.508    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1416        tvmgen_default_fused_nn_conv2d_14          205.891    0.508    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1418        tvmgen_default_fused_nn_conv2d_14          205.877    0.508    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1410        tvmgen_default_fused_nn_conv2d_14          205.869    0.508    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1414        tvmgen_default_fused_nn_conv2d_14          205.841    0.508    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1425        tvmgen_default_fused_nn_conv2d_14          205.814    0.508    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1423        tvmgen_default_fused_nn_conv2d_14          205.737    0.508    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1411        tvmgen_default_fused_nn_conv2d_14          205.716    0.508    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1422        tvmgen_default_fused_nn_conv2d_14          205.656    0.508    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1421        tvmgen_default_fused_nn_conv2d_14          205.642    0.508    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_15          tvmgen_default_fused_nn_conv2d_15          195.49     0.483    (1, 512, 7, 7)     2       1        
tvmgen_default_fused_nn_conv2d_1432        tvmgen_default_fused_nn_conv2d_14          194.765    0.481    (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1427        tvmgen_default_fused_nn_conv2d_14          194.466    0.48     (1, 256, 14, 14)   2       1        
tvmgen_default_fused_nn_conv2d_1433        tvmgen_default_fused_nn_conv2d_14          193.95     0.479    (1, 256, 14, 14)   2       1        
