a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
split-41,9736,23128.78163242806,0.0,139984896,139984896,0
strided_slice-45,7816,4669.43435682478,0.0,139984896,139984896,0
split-54,0,4625.476479670613,0.0,139984896,139984896,0
split-64,0,4792.182890601041,0.0,139984896,139984896,0
split-76,0,3779.2439075979387,0.0,139984896,139984896,0
strided_slice-97,7816,4643.857139576409,0.0,139984896,139984896,0
strided_slice-198,7816,4670.550479547031,0.0,139984896,139984896,0
split-207,0,4824.183469404831,0.0,139984896,139984896,0
split-217,0,4838.704343094282,0.0,139984896,139984896,0
split-229,0,3671.7178411327354,0.0,139984896,139984896,0
strided_slice-250,7816,4683.30185870125,0.0,139984896,139984896,0
squeeze-39,64,6.4487523334744195,0.0,139984896,139984896,0
squeeze-112,64,6.433022845608074,0.0,139984896,139984896,0
squeeze-135,64,6.429871564308531,0.0,139984896,139984896,0
squeeze-158,64,6.394703653911527,0.0,139984896,139984896,0
squeeze-181,64,6.42273434841692,0.0,139984896,139984896,0
split-44,64,4664.928763140237,0.0,139984896,139984896,0
squeeze-52,64,6.401009134909794,0.0,139984896,139984896,0
squeeze-62,64,6.42582877600724,0.0,139984896,139984896,0
split-74,64,8204.669792037423,0.0,139984896,139984896,0
split-96,64,4673.553492484528,0.0,139984896,139984896,0
split-197,64,4678.3264392804895,0.0,139984896,139984896,0
squeeze-205,64,6.431563694788493,0.0,139984896,139984896,0
squeeze-215,64,6.381194096758314,0.0,139984896,139984896,0
split-227,64,8044.135884525681,0.0,139984896,139984896,0
split-249,64,4671.741528262226,0.0,139984896,139984896,0
squeeze-42,64,6.421265604735995,0.0,139984896,139984896,0
split-51,64,17876.010686975056,0.0,139984896,139984896,0
split-61,64,18331.58336961254,0.0,139984896,139984896,0
squeeze-72,64,6.4337933529599365,0.0,139984896,139984896,0
squeeze-84,64,6.393813298386646,0.0,139984896,139984896,0
squeeze-94,64,6.45063078511445,0.0,139984896,139984896,0
squeeze-195,64,6.387794796031358,0.0,139984896,139984896,0
split-204,64,18228.75134267978,0.0,139984896,139984896,0
split-214,64,18224.184923184923,0.0,139984896,139984896,0
squeeze-225,64,6.435228776676554,0.0,139984896,139984896,0
squeeze-237,64,6.405052887716878,0.0,139984896,139984896,0
squeeze-247,64,6.441633178815869,0.0,139984896,139984896,0
tuple-38,128,6.1629188370207295,0.0,139984896,139984896,0
tuple-49,256,7.834754874651406,0.0,139984896,139984896,0
tuple-59,256,7.848955296902689,0.0,139984896,139984896,0
split-71,64,15625.879176427074,0.0,139984896,139984896,0
split-83,64,16548.330118897597,0.0,139984896,139984896,0
tuple-202,256,7.870829490724579,0.0,139984896,139984896,0
tuple-212,256,7.834211252359255,0.0,139984896,139984896,0
split-224,64,16714.269469711428,0.0,139984896,139984896,0
split-236,64,16061.53266673932,0.0,139984896,139984896,0
concatenate-37,128,4694.79787323904,0.0,139984896,139984896,0
concatenate-48,256,4701.904233078459,0.0,139984896,139984896,0
concatenate-58,256,4848.104720801105,0.0,139984896,139984896,0
tuple-69,256,7.850205853025077,0.0,139984896,139984896,0
tuple-81,256,7.869425133593975,0.0,139984896,139984896,0
concatenate-201,256,4891.707128931085,0.0,139984896,139984896,0
concatenate-211,256,4894.901995803446,0.0,139984896,139984896,0
tuple-222,256,7.86381933049327,0.0,139984896,139984896,0
tuple-234,256,7.859789783507652,0.0,139984896,139984896,0
tuple-47,128,6.121577882098594,0.0,139984896,139984896,0
tuple-115,128,6.149300309764,0.0,139984896,139984896,0
tuple-138,128,6.121262507122812,0.0,139984896,139984896,0
tuple-161,128,6.135050632579286,0.0,139984896,139984896,0
tuple-184,128,6.1488495009816235,0.0,139984896,139984896,0
concatenate-68,256,4885.010213213686,0.0,139984896,139984896,0
concatenate-80,256,4878.70558137012,0.0,139984896,139984896,0
tuple-200,128,6.193978735667585,0.0,139984896,139984896,0
tuple-268,128,6.125401370096479,0.0,139984896,139984896,0
tuple-291,128,6.089900867763556,0.0,139984896,139984896,0
tuple-314,128,6.094923845320755,0.0,139984896,139984896,0
tuple-337,128,6.133347805952399,0.0,139984896,139984896,0
concatenate-221,256,4847.7137798334215,0.0,139984896,139984896,0
concatenate-233,256,4836.699195665465,0.0,139984896,139984896,0
concatenate-46,128,4584.658208710129,0.0,139984896,139984896,0
concatenate-114,128,4559.41257246622,0.0,139984896,139984896,0
concatenate-137,128,4617.877130086171,0.0,139984896,139984896,0
concatenate-160,128,4589.548525557312,0.0,139984896,139984896,0
concatenate-183,128,4549.073396813936,0.0,139984896,139984896,0
concatenate-199,128,4823.2605237286625,0.0,139984896,139984896,0
concatenate-267,128,5020.569582498807,0.0,139984896,139984896,0
concatenate-290,128,4955.420347874103,0.0,139984896,139984896,0
concatenate-313,128,4816.812555125206,0.0,139984896,139984896,0
concatenate-336,128,4951.504051564243,0.0,139984896,139984896,0
nn.dense-36,128,35718.79362257652,0.0,139984896,139984896,0
add-35,128,4434.382349298466,0.0,139984896,139984896,0
add-34,128,4446.225605456269,0.0,139984896,139984896,0
split-33,64,19434.547948626474,0.0,139984896,139984896,0
sigmoid-31,64,5064.575202720377,0.0,139984896,139984896,0
sigmoid-92,64,5075.709815135937,0.0,139984896,139984896,0
sigmoid-99,64,5007.968285717129,0.0,139984896,139984896,0
tanh-101,64,4416.910154422087,0.0,139984896,139984896,0
multiply-91,128,4864.995029575828,0.0,139984896,139984896,0
multiply-98,128,4878.988678857737,0.0,139984896,139984896,0
add-90,128,4875.033343390203,0.0,139984896,139984896,0
tanh-89,64,4487.340458028903,0.0,139984896,139984896,0
multiply-30,128,4883.355968904538,0.0,139984896,139984896,0
tuple-111,128,6.152900945377675,0.0,139984896,139984896,0
concatenate-110,128,4690.9793878182,0.0,139984896,139984896,0
nn.dense-109,128,35854.340995757026,0.0,139984896,139984896,0
add-108,128,4554.591849869006,0.0,139984896,139984896,0
add-107,128,4420.694633793794,0.0,139984896,139984896,0
split-106,64,19391.790505494508,0.0,139984896,139984896,0
sigmoid-104,64,4884.0917063611405,0.0,139984896,139984896,0
sigmoid-119,64,4939.893834438713,0.0,139984896,139984896,0
sigmoid-122,64,4948.011917085674,0.0,139984896,139984896,0
tanh-124,64,4432.976620071749,0.0,139984896,139984896,0
multiply-118,128,4896.533651029256,0.0,139984896,139984896,0
multiply-121,128,4899.641556712735,0.0,139984896,139984896,0
add-117,128,4895.749638968035,0.0,139984896,139984896,0
tanh-116,64,4438.1813632579315,0.0,139984896,139984896,0
multiply-103,128,4885.304895214736,0.0,139984896,139984896,0
tuple-134,128,6.137440131023524,0.0,139984896,139984896,0
concatenate-133,128,4654.116432638445,0.0,139984896,139984896,0
nn.dense-132,128,35975.04516129033,0.0,139984896,139984896,0
add-131,128,4479.330420593664,0.0,139984896,139984896,0
add-130,128,4379.816870690868,0.0,139984896,139984896,0
split-129,64,19388.764647986958,0.0,139984896,139984896,0
sigmoid-127,64,4947.245277078085,0.0,139984896,139984896,0
sigmoid-142,64,5091.647992102746,0.0,139984896,139984896,0
sigmoid-145,64,4972.354243656644,0.0,139984896,139984896,0
tanh-147,64,4405.826540237845,0.0,139984896,139984896,0
multiply-141,128,4877.015522533497,0.0,139984896,139984896,0
multiply-144,128,4868.088714537083,0.0,139984896,139984896,0
add-140,128,4893.340203374218,0.0,139984896,139984896,0
tanh-139,64,4430.908797695421,0.0,139984896,139984896,0
multiply-126,128,4885.2329603156,0.0,139984896,139984896,0
tuple-157,128,6.106138844252474,0.0,139984896,139984896,0
concatenate-156,128,4746.9617742925975,0.0,139984896,139984896,0
nn.dense-155,128,35718.98971365026,0.0,139984896,139984896,0
add-154,128,4411.117660828901,0.0,139984896,139984896,0
add-153,128,4489.989793538897,0.0,139984896,139984896,0
split-152,64,19290.537558203236,0.0,139984896,139984896,0
sigmoid-150,64,4967.380994776829,0.0,139984896,139984896,0
sigmoid-165,64,4962.659640330188,0.0,139984896,139984896,0
sigmoid-168,64,4938.811037913418,0.0,139984896,139984896,0
tanh-170,64,4468.447846907019,0.0,139984896,139984896,0
multiply-164,128,4881.01633074748,0.0,139984896,139984896,0
multiply-167,128,4871.56844613343,0.0,139984896,139984896,0
add-163,128,4885.023408568199,0.0,139984896,139984896,0
tanh-162,64,4543.473006558818,0.0,139984896,139984896,0
multiply-149,128,4893.073003163006,0.0,139984896,139984896,0
tuple-180,128,6.12558568094748,0.0,139984896,139984896,0
concatenate-179,128,4560.615900827393,0.0,139984896,139984896,0
nn.dense-178,128,35855.7309351742,0.0,139984896,139984896,0
add-177,128,4414.039188939443,0.0,139984896,139984896,0
add-176,128,4503.593673396623,0.0,139984896,139984896,0
split-175,64,19406.897685719785,0.0,139984896,139984896,0
sigmoid-173,64,4920.866379563472,0.0,139984896,139984896,0
sigmoid-188,64,5121.5720530657245,0.0,139984896,139984896,0
sigmoid-191,64,5005.528840694201,0.0,139984896,139984896,0
tanh-193,64,4422.242939751073,0.0,139984896,139984896,0
multiply-187,128,4886.5329259151795,0.0,139984896,139984896,0
multiply-190,128,4889.468044965786,0.0,139984896,139984896,0
add-186,128,4879.540714501968,0.0,139984896,139984896,0
tanh-185,64,4381.863993804361,0.0,139984896,139984896,0
expand_dims-354,64,6.4260072676360895,0.0,139984896,139984896,0
multiply-172,128,4890.39116943943,0.0,139984896,139984896,0
tuple-29,320,8.46180712802334,0.0,139984896,139984896,0
expand_dims-350,64,6.434463705820541,0.0,139984896,139984896,0
stack-28,320,4314.791280301938,0.0,139984896,139984896,0
expand_dims-27,64,6.4191928050952844,0.0,139984896,139984896,0
squeeze-26,64,6.3471123587476805,0.0,139984896,139984896,0
split-25,64,23431.29405286344,0.0,139984896,139984896,0
squeeze-23,64,6.453577261327719,0.0,139984896,139984896,0
squeeze-265,64,6.4445867696437436,0.0,139984896,139984896,0
squeeze-288,64,6.408013356784972,0.0,139984896,139984896,0
squeeze-311,64,6.42593702456547,0.0,139984896,139984896,0
squeeze-334,64,6.4865192793598325,0.0,139984896,139984896,0
tuple-22,128,6.136174143316723,0.0,139984896,139984896,0
concatenate-21,128,4976.644557222439,0.0,139984896,139984896,0
nn.dense-20,128,35994.7296280819,0.0,139984896,139984896,0
add-19,128,4414.951119857393,0.0,139984896,139984896,0
add-18,128,4478.130768886302,0.0,139984896,139984896,0
split-17,64,19377.299205705953,0.0,139984896,139984896,0
sigmoid-15,64,4874.830552800642,0.0,139984896,139984896,0
sigmoid-245,64,4909.871591054062,0.0,139984896,139984896,0
sigmoid-252,64,4917.510013338042,0.0,139984896,139984896,0
tanh-254,64,4560.133430894492,0.0,139984896,139984896,0
multiply-244,128,4883.813411817447,0.0,139984896,139984896,0
multiply-251,128,4891.893313782992,0.0,139984896,139984896,0
add-243,128,4888.597290789409,0.0,139984896,139984896,0
tanh-242,64,4355.656672760511,0.0,139984896,139984896,0
multiply-14,128,4887.324267067587,0.0,139984896,139984896,0
tuple-264,128,6.118599430941779,0.0,139984896,139984896,0
concatenate-263,128,4969.549817221147,0.0,139984896,139984896,0
nn.dense-262,128,35982.87382629108,0.0,139984896,139984896,0
add-261,128,4504.32200282592,0.0,139984896,139984896,0
add-260,128,4406.53353172361,0.0,139984896,139984896,0
split-259,64,19436.41952201854,0.0,139984896,139984896,0
sigmoid-257,64,5029.835971560182,0.0,139984896,139984896,0
sigmoid-272,64,4962.27163204276,0.0,139984896,139984896,0
sigmoid-275,64,4944.119637573965,0.0,139984896,139984896,0
tanh-277,64,4437.641105299027,0.0,139984896,139984896,0
multiply-271,128,4896.939717526843,0.0,139984896,139984896,0
multiply-274,128,4891.359706697991,0.0,139984896,139984896,0
add-270,128,4879.1013319293925,0.0,139984896,139984896,0
tanh-269,64,4434.0529077549,0.0,139984896,139984896,0
multiply-256,128,4872.93138712712,0.0,139984896,139984896,0
tuple-287,128,6.109078345043453,0.0,139984896,139984896,0
concatenate-286,128,4982.724040092521,0.0,139984896,139984896,0
nn.dense-285,128,35997.48021165164,0.0,139984896,139984896,0
add-284,128,4464.168754772945,0.0,139984896,139984896,0
add-283,128,4460.195099794266,0.0,139984896,139984896,0
split-282,64,19353.15388744744,0.0,139984896,139984896,0
sigmoid-280,64,4974.199169970036,0.0,139984896,139984896,0
sigmoid-295,64,4948.538819245878,0.0,139984896,139984896,0
sigmoid-298,64,5024.760161539853,0.0,139984896,139984896,0
tanh-300,64,4558.087861785154,0.0,139984896,139984896,0
multiply-294,128,4887.214748594628,0.0,139984896,139984896,0
multiply-297,128,4876.465188854972,0.0,139984896,139984896,0
add-293,128,4874.425810473815,0.0,139984896,139984896,0
tanh-292,64,4440.3508810866,0.0,139984896,139984896,0
multiply-279,128,4875.306923841641,0.0,139984896,139984896,0
tuple-310,128,6.136361248572431,0.0,139984896,139984896,0
concatenate-309,128,5059.310593514278,0.0,139984896,139984896,0
nn.dense-308,128,35943.771146616535,0.0,139984896,139984896,0
add-307,128,4459.121652591872,0.0,139984896,139984896,0
add-306,128,4446.770425469919,0.0,139984896,139984896,0
split-305,64,19423.43920513076,0.0,139984896,139984896,0
sigmoid-303,64,4963.770585520445,0.0,139984896,139984896,0
sigmoid-318,64,4957.892801205417,0.0,139984896,139984896,0
sigmoid-321,64,5109.497051961556,0.0,139984896,139984896,0
tanh-323,64,4651.429764747961,0.0,139984896,139984896,0
multiply-317,128,4892.38678083397,0.0,139984896,139984896,0
multiply-320,128,4900.631728610928,0.0,139984896,139984896,0
add-316,128,4888.776440578588,0.0,139984896,139984896,0
tanh-315,64,4370.372327973549,0.0,139984896,139984896,0
multiply-302,128,4873.647322695357,0.0,139984896,139984896,0
tuple-333,128,6.08448109094532,0.0,139984896,139984896,0
concatenate-332,128,5044.494942792222,0.0,139984896,139984896,0
nn.dense-331,128,36001.50378051415,0.0,139984896,139984896,0
add-330,128,4427.825333727565,0.0,139984896,139984896,0
add-329,128,4460.510696116254,0.0,139984896,139984896,0
split-328,64,19310.501513018997,0.0,139984896,139984896,0
sigmoid-326,64,4985.483305870043,0.0,139984896,139984896,0
sigmoid-341,64,4845.132050684916,0.0,139984896,139984896,0
sigmoid-344,64,4921.04770710421,0.0,139984896,139984896,0
tanh-346,64,4486.490710784094,0.0,139984896,139984896,0
multiply-340,128,4895.515460037034,0.0,139984896,139984896,0
multiply-343,128,4878.087621277213,0.0,139984896,139984896,0
add-339,128,4886.774917388803,0.0,139984896,139984896,0
tanh-338,64,4556.028173850185,0.0,139984896,139984896,0
