op_name,op_time,op_proportion
cast,17033.733026563612,0.024443%
strided_slice,8202.897532050825,0.011771%
transpose,40717514.867261566,58.429346%
expand_dims,13.014117412050695,0.000019%
take,19977.21138959183,0.028667%
repeat,4232.796561244322,0.006074%
multiply,221774.76191176564,0.318245%
add,606776.3929923637,0.870720%
subtract,4534.499706262483,0.006507%
nn.layer_norm,1193257.5866766204,1.712316%
nn.dropout,147.90767732491943,0.000212%
reshape,1720.5477014956239,0.002469%
nn.dense,26028627.73408513,37.350897%
nn.batch_matmul,482329.38249700324,0.692139%
divide,58880.75159422401,0.084493%
nn.softmax,239390.98887978296,0.343524%
erf,77317.03011790324,0.110949%
tanh,5016.073418965396,0.007198%
tuple,6.216626998367291,0.000009%
