op_name,op_time,op_proportion
cast,17887.398873798767,0.025783%
strided_slice,8675.760776068193,0.012505%
transpose,40490652.031907216,58.363414%
expand_dims,12.849300618002815,0.000019%
take,20038.202264299383,0.028883%
repeat,4465.392524282245,0.006436%
multiply,220809.47925912522,0.318276%
add,602792.0623274833,0.868867%
subtract,4599.093470121862,0.006629%
nn.layer_norm,1192135.618043952,1.718350%
nn.dropout,146.23783781220152,0.000211%
reshape,1696.91144569783,0.002446%
nn.dense,25951103.994974077,37.406042%
nn.batch_matmul,481871.04273806827,0.694571%
divide,58754.51030939499,0.084689%
nn.softmax,238886.31477733917,0.344332%
erf,77242.11615699841,0.111337%
tanh,4995.932193403541,0.007201%
tuple,6.145561970937021,0.000009%
