a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
split-41,48136,24456.701025474078,0.0,139984896,139984896,0
strided_slice-45,38536,4917.478488126171,0.0,139984896,139984896,0
split-54,0,4693.418414654668,0.0,139984896,139984896,0
split-64,0,4762.866206305362,0.0,139984896,139984896,0
split-76,0,3652.6982398150403,0.0,139984896,139984896,0
strided_slice-97,38536,4892.01635322177,0.0,139984896,139984896,0
strided_slice-198,38536,4958.17726080455,0.0,139984896,139984896,0
split-207,0,4775.668308741541,0.0,139984896,139984896,0
split-217,0,4775.489699087334,0.0,139984896,139984896,0
split-229,0,3675.361156605977,0.0,139984896,139984896,0
strided_slice-250,38536,4959.375633146485,0.0,139984896,139984896,0
squeeze-39,64,6.452851088599745,0.0,139984896,139984896,0
squeeze-112,64,6.415533211310351,0.0,139984896,139984896,0
squeeze-135,64,6.421479704309888,0.0,139984896,139984896,0
squeeze-158,64,6.362599797322505,0.0,139984896,139984896,0
squeeze-181,64,6.378439449562032,0.0,139984896,139984896,0
split-44,64,4888.666350831266,0.0,139984896,139984896,0
squeeze-52,64,6.434892670120707,0.0,139984896,139984896,0
squeeze-62,64,6.3909262006090435,0.0,139984896,139984896,0
split-74,64,7342.591169703832,0.0,139984896,139984896,0
split-96,64,4892.518147980028,0.0,139984896,139984896,0
split-197,64,4877.317687949063,0.0,139984896,139984896,0
squeeze-205,64,6.383752058300158,0.0,139984896,139984896,0
squeeze-215,64,6.386147385839708,0.0,139984896,139984896,0
split-227,64,7280.122966800859,0.0,139984896,139984896,0
split-249,64,4874.490986105588,0.0,139984896,139984896,0
squeeze-42,64,6.407970873330435,0.0,139984896,139984896,0
split-51,64,15330.75826933313,0.0,139984896,139984896,0
split-61,64,16955.128547809316,0.0,139984896,139984896,0
squeeze-72,64,6.384056293602583,0.0,139984896,139984896,0
squeeze-84,64,6.417995114642301,0.0,139984896,139984896,0
squeeze-94,64,6.382823719099102,0.0,139984896,139984896,0
squeeze-195,64,6.3879666765997625,0.0,139984896,139984896,0
split-204,64,17142.99539977444,0.0,139984896,139984896,0
split-214,64,17034.88181626965,0.0,139984896,139984896,0
squeeze-225,64,6.453058626691925,0.0,139984896,139984896,0
squeeze-237,64,6.419458630821015,0.0,139984896,139984896,0
squeeze-247,64,6.392606746787955,0.0,139984896,139984896,0
tuple-38,128,6.156063268307413,0.0,139984896,139984896,0
tuple-49,256,7.8690092870682244,0.0,139984896,139984896,0
tuple-59,256,7.849550282247734,0.0,139984896,139984896,0
split-71,64,14478.141228886343,0.0,139984896,139984896,0
split-83,64,14409.674652158403,0.0,139984896,139984896,0
tuple-202,256,7.83350821244038,0.0,139984896,139984896,0
tuple-212,256,7.849485227818079,0.0,139984896,139984896,0
split-224,64,14467.687506795695,0.0,139984896,139984896,0
split-236,64,14554.891590620306,0.0,139984896,139984896,0
concatenate-37,128,4791.898483704844,0.0,139984896,139984896,0
concatenate-48,256,4754.908996830735,0.0,139984896,139984896,0
concatenate-58,256,5056.933224936628,0.0,139984896,139984896,0
tuple-69,256,7.858791008985528,0.0,139984896,139984896,0
tuple-81,256,7.849276877357803,0.0,139984896,139984896,0
concatenate-201,256,5051.444887849182,0.0,139984896,139984896,0
concatenate-211,256,5069.784554735671,0.0,139984896,139984896,0
tuple-222,256,7.849400459595373,0.0,139984896,139984896,0
tuple-234,256,7.87120782372259,0.0,139984896,139984896,0
tuple-47,128,6.140195781139887,0.0,139984896,139984896,0
tuple-115,128,6.122308508105064,0.0,139984896,139984896,0
tuple-138,128,6.113205110825735,0.0,139984896,139984896,0
tuple-161,128,6.140842185420694,0.0,139984896,139984896,0
tuple-184,128,6.127333844311083,0.0,139984896,139984896,0
concatenate-68,256,5005.605203505945,0.0,139984896,139984896,0
concatenate-80,256,5039.179995644464,0.0,139984896,139984896,0
tuple-200,128,6.137935259271246,0.0,139984896,139984896,0
tuple-268,128,6.181426190489765,0.0,139984896,139984896,0
tuple-291,128,6.16081211597189,0.0,139984896,139984896,0
tuple-314,128,6.134140725359171,0.0,139984896,139984896,0
tuple-337,128,6.107935745338605,0.0,139984896,139984896,0
concatenate-221,256,5037.536608328605,0.0,139984896,139984896,0
concatenate-233,256,5012.931211422621,0.0,139984896,139984896,0
concatenate-46,128,5167.138389592197,0.0,139984896,139984896,0
concatenate-114,128,5215.501256098826,0.0,139984896,139984896,0
concatenate-137,128,5113.595210423294,0.0,139984896,139984896,0
concatenate-160,128,5195.671158918136,0.0,139984896,139984896,0
concatenate-183,128,5242.913284324955,0.0,139984896,139984896,0
concatenate-199,128,5087.670692692409,0.0,139984896,139984896,0
concatenate-267,128,5081.183073072812,0.0,139984896,139984896,0
concatenate-290,128,5129.739964562061,0.0,139984896,139984896,0
concatenate-313,128,5162.355085322823,0.0,139984896,139984896,0
concatenate-336,128,5016.2757235593845,0.0,139984896,139984896,0
nn.dense-36,128,156601.51860890788,0.0,139984896,139984896,0
add-35,128,5790.9845361421385,0.0,139984896,139984896,0
add-34,128,5780.128937246612,0.0,139984896,139984896,0
split-33,64,20084.93097191543,0.0,139984896,139984896,0
sigmoid-31,64,4431.936301962794,0.0,139984896,139984896,0
sigmoid-92,64,4457.544579918936,0.0,139984896,139984896,0
sigmoid-99,64,4556.202437789351,0.0,139984896,139984896,0
tanh-101,64,4429.772288110443,0.0,139984896,139984896,0
multiply-91,128,5025.2843593358875,0.0,139984896,139984896,0
multiply-98,128,5047.591669164294,0.0,139984896,139984896,0
add-90,128,5044.354932628731,0.0,139984896,139984896,0
tanh-89,64,4400.392893284876,0.0,139984896,139984896,0
multiply-30,128,4992.684991122314,0.0,139984896,139984896,0
tuple-111,128,6.1459912495242435,0.0,139984896,139984896,0
concatenate-110,128,4765.812394515418,0.0,139984896,139984896,0
nn.dense-109,128,156616.6203022876,0.0,139984896,139984896,0
add-108,128,5788.41930681021,0.0,139984896,139984896,0
add-107,128,5761.481061767663,0.0,139984896,139984896,0
split-106,64,20187.408159325634,0.0,139984896,139984896,0
sigmoid-104,64,4403.790781016112,0.0,139984896,139984896,0
sigmoid-119,64,4434.0657317221485,0.0,139984896,139984896,0
sigmoid-122,64,4440.692180559292,0.0,139984896,139984896,0
tanh-124,64,4404.2138512722495,0.0,139984896,139984896,0
multiply-118,128,5053.952139703031,0.0,139984896,139984896,0
multiply-121,128,5044.68350151413,0.0,139984896,139984896,0
add-117,128,5023.705305899106,0.0,139984896,139984896,0
tanh-116,64,4417.404105483968,0.0,139984896,139984896,0
multiply-103,128,5062.33667097765,0.0,139984896,139984896,0
tuple-134,128,6.124146378089763,0.0,139984896,139984896,0
concatenate-133,128,4813.8170772825415,0.0,139984896,139984896,0
nn.dense-132,128,156627.9255102041,0.0,139984896,139984896,0
add-131,128,5761.137328526508,0.0,139984896,139984896,0
add-130,128,5779.726820281762,0.0,139984896,139984896,0
split-129,64,20246.201659997034,0.0,139984896,139984896,0
