a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
split-41,6536,20637.787845691775,0.0,139984896,139984896,0
strided_slice-45,776,3577.380083554341,0.0,139984896,139984896,0
split-54,0,4921.52568889758,0.0,139984896,139984896,0
split-64,0,4774.601344164007,0.0,139984896,139984896,0
split-76,0,4527.624146104223,0.0,139984896,139984896,0
strided_slice-97,776,4493.580253001138,0.0,139984896,139984896,0
strided_slice-198,776,3729.371140859215,0.0,139984896,139984896,0
split-207,0,4386.5311817845995,0.0,139984896,139984896,0
split-217,0,4774.667354207848,0.0,139984896,139984896,0
split-229,0,4544.335785483391,0.0,139984896,139984896,0
strided_slice-250,776,3697.7049886776913,0.0,139984896,139984896,0
squeeze-39,64,6.3972579741528675,0.0,139984896,139984896,0
squeeze-112,64,6.438664510515992,0.0,139984896,139984896,0
squeeze-135,64,6.390933150342012,0.0,139984896,139984896,0
squeeze-158,64,6.356051910969383,0.0,139984896,139984896,0
squeeze-181,64,6.393453468246654,0.0,139984896,139984896,0
split-44,64,3565.1884520123836,0.0,139984896,139984896,0
squeeze-52,64,6.409884025195431,0.0,139984896,139984896,0
squeeze-62,64,6.359298401861324,0.0,139984896,139984896,0
split-74,64,7296.482326399856,0.0,139984896,139984896,0
split-96,64,3564.0519467879435,0.0,139984896,139984896,0
split-197,64,3566.4061691900374,0.0,139984896,139984896,0
squeeze-205,64,6.3801660779037,0.0,139984896,139984896,0
squeeze-215,64,6.402578071071882,0.0,139984896,139984896,0
split-227,64,7574.275275806416,0.0,139984896,139984896,0
split-249,64,3566.7940950044863,0.0,139984896,139984896,0
squeeze-42,64,6.394139181562873,0.0,139984896,139984896,0
split-51,64,17154.101400620122,0.0,139984896,139984896,0
split-61,64,17878.66515565629,0.0,139984896,139984896,0
squeeze-72,64,6.407403517854885,0.0,139984896,139984896,0
squeeze-84,64,6.399326517218363,0.0,139984896,139984896,0
squeeze-94,64,6.404061405828607,0.0,139984896,139984896,0
squeeze-195,64,6.379292504098746,0.0,139984896,139984896,0
split-204,64,17916.224733403105,0.0,139984896,139984896,0
split-214,64,17842.811442623923,0.0,139984896,139984896,0
squeeze-225,64,6.390537994454858,0.0,139984896,139984896,0
squeeze-237,64,6.39274812770353,0.0,139984896,139984896,0
squeeze-247,64,6.382739796264724,0.0,139984896,139984896,0
tuple-38,128,6.092462064664718,0.0,139984896,139984896,0
tuple-49,256,7.835182776994236,0.0,139984896,139984896,0
tuple-59,256,7.834368242094386,0.0,139984896,139984896,0
split-71,64,14805.668520874633,0.0,139984896,139984896,0
split-83,64,17905.86257030434,0.0,139984896,139984896,0
tuple-202,256,7.978363258795498,0.0,139984896,139984896,0
tuple-212,256,7.8337454995645865,0.0,139984896,139984896,0
split-224,64,14766.898009878398,0.0,139984896,139984896,0
split-236,64,14646.58675742232,0.0,139984896,139984896,0
concatenate-37,128,4822.810414116786,0.0,139984896,139984896,0
concatenate-48,256,5129.476693156956,0.0,139984896,139984896,0
concatenate-58,256,4968.828353098794,0.0,139984896,139984896,0
tuple-69,256,7.839137664810863,0.0,139984896,139984896,0
tuple-81,256,7.833658243016235,0.0,139984896,139984896,0
concatenate-201,256,4977.96752871847,0.0,139984896,139984896,0
concatenate-211,256,4985.49507298361,0.0,139984896,139984896,0
tuple-222,256,7.835029013319022,0.0,139984896,139984896,0
tuple-234,256,7.867338309445795,0.0,139984896,139984896,0
tuple-47,128,6.102372092366505,0.0,139984896,139984896,0
tuple-115,128,6.139214505587025,0.0,139984896,139984896,0
tuple-138,128,6.1090091243302265,0.0,139984896,139984896,0
tuple-161,128,6.1080008342448275,0.0,139984896,139984896,0
tuple-184,128,6.121659354540012,0.0,139984896,139984896,0
concatenate-68,256,4973.049298628891,0.0,139984896,139984896,0
concatenate-80,256,4979.363066514104,0.0,139984896,139984896,0
tuple-200,128,6.097950755789931,0.0,139984896,139984896,0
tuple-268,128,6.137145061231793,0.0,139984896,139984896,0
tuple-291,128,6.088235531514269,0.0,139984896,139984896,0
tuple-314,128,6.082348939991332,0.0,139984896,139984896,0
tuple-337,128,6.118404847752722,0.0,139984896,139984896,0
concatenate-221,256,4973.119334372548,0.0,139984896,139984896,0
concatenate-233,256,4957.288150769362,0.0,139984896,139984896,0
concatenate-46,128,5289.288998980419,0.0,139984896,139984896,0
concatenate-114,128,4696.098257761266,0.0,139984896,139984896,0
concatenate-137,128,4791.902020453683,0.0,139984896,139984896,0
concatenate-160,128,5262.936746639764,0.0,139984896,139984896,0
concatenate-183,128,4797.244863868744,0.0,139984896,139984896,0
concatenate-199,128,5092.48806538403,0.0,139984896,139984896,0
concatenate-267,128,5145.185411929334,0.0,139984896,139984896,0
concatenate-290,128,5161.285209817568,0.0,139984896,139984896,0
concatenate-313,128,5063.130644769349,0.0,139984896,139984896,0
concatenate-336,128,5185.327547750288,0.0,139984896,139984896,0
nn.dense-36,128,7056.628620198344,0.0,139984896,139984896,0
add-35,128,4885.919839974475,0.0,139984896,139984896,0
add-34,128,4705.522501906941,0.0,139984896,139984896,0
split-33,64,18707.035759938648,0.0,139984896,139984896,0
sigmoid-31,64,4985.10017931859,0.0,139984896,139984896,0
sigmoid-92,64,4962.288917551345,0.0,139984896,139984896,0
sigmoid-99,64,4981.231430404898,0.0,139984896,139984896,0
tanh-101,64,5007.653016142735,0.0,139984896,139984896,0
multiply-91,128,4564.090276204288,0.0,139984896,139984896,0
multiply-98,128,4599.4527337200025,0.0,139984896,139984896,0
add-90,128,4584.396183527945,0.0,139984896,139984896,0
tanh-89,64,5008.023672919268,0.0,139984896,139984896,0
multiply-30,128,4598.052117622248,0.0,139984896,139984896,0
tuple-111,128,6.140005054930469,0.0,139984896,139984896,0
concatenate-110,128,4539.222430904802,0.0,139984896,139984896,0
nn.dense-109,128,7023.246592360284,0.0,139984896,139984896,0
add-108,128,4690.420639461268,0.0,139984896,139984896,0
add-107,128,4697.843815026214,0.0,139984896,139984896,0
split-106,64,18691.946331705996,0.0,139984896,139984896,0
sigmoid-104,64,4976.68582840729,0.0,139984896,139984896,0
sigmoid-119,64,5019.48467264287,0.0,139984896,139984896,0
sigmoid-122,64,4976.9899416963535,0.0,139984896,139984896,0
tanh-124,64,4946.84550300626,0.0,139984896,139984896,0
multiply-118,128,4542.35684794149,0.0,139984896,139984896,0
multiply-121,128,4522.138707204763,0.0,139984896,139984896,0
add-117,128,4534.0792297219305,0.0,139984896,139984896,0
tanh-116,64,5036.327903002482,0.0,139984896,139984896,0
multiply-103,128,4425.370857876205,0.0,139984896,139984896,0
tuple-134,128,6.10377974781727,0.0,139984896,139984896,0
concatenate-133,128,4851.3940591757255,0.0,139984896,139984896,0
nn.dense-132,128,7221.755116322245,0.0,139984896,139984896,0
add-131,128,4690.234926756776,0.0,139984896,139984896,0
add-130,128,4699.678406972918,0.0,139984896,139984896,0
split-129,64,18760.563128621092,0.0,139984896,139984896,0
sigmoid-127,64,4998.778444330843,0.0,139984896,139984896,0
sigmoid-142,64,4967.558307882333,0.0,139984896,139984896,0
sigmoid-145,64,4970.533707641856,0.0,139984896,139984896,0
tanh-147,64,5013.618625254991,0.0,139984896,139984896,0
multiply-141,128,4567.639197060995,0.0,139984896,139984896,0
multiply-144,128,4608.288310014727,0.0,139984896,139984896,0
add-140,128,4588.636098954423,0.0,139984896,139984896,0
tanh-139,64,4972.784135585689,0.0,139984896,139984896,0
multiply-126,128,4521.313405919234,0.0,139984896,139984896,0
tuple-157,128,6.11567250958668,0.0,139984896,139984896,0
concatenate-156,128,4813.5141847037685,0.0,139984896,139984896,0
nn.dense-155,128,7212.481945700709,0.0,139984896,139984896,0
add-154,128,4749.145319235915,0.0,139984896,139984896,0
add-153,128,4683.148635486712,0.0,139984896,139984896,0
split-152,64,18769.37709027343,0.0,139984896,139984896,0
sigmoid-150,64,4973.473582838999,0.0,139984896,139984896,0
sigmoid-165,64,5025.719696513518,0.0,139984896,139984896,0
sigmoid-168,64,4977.693450398227,0.0,139984896,139984896,0
tanh-170,64,4972.51353271952,0.0,139984896,139984896,0
multiply-164,128,4572.854779432615,0.0,139984896,139984896,0
multiply-167,128,4550.7728234322085,0.0,139984896,139984896,0
add-163,128,4528.528300350192,0.0,139984896,139984896,0
tanh-162,64,5018.6410629280235,0.0,139984896,139984896,0
multiply-149,128,4584.420081798469,0.0,139984896,139984896,0
tuple-180,128,6.117707537462368,0.0,139984896,139984896,0
concatenate-179,128,4802.173368431685,0.0,139984896,139984896,0
nn.dense-178,128,6983.585453949863,0.0,139984896,139984896,0
add-177,128,4698.709083565799,0.0,139984896,139984896,0
add-176,128,4638.449114464045,0.0,139984896,139984896,0
split-175,64,18694.494705464866,0.0,139984896,139984896,0
sigmoid-173,64,4968.473470263642,0.0,139984896,139984896,0
sigmoid-188,64,4973.902593665662,0.0,139984896,139984896,0
sigmoid-191,64,5003.284249347846,0.0,139984896,139984896,0
tanh-193,64,4949.126549653184,0.0,139984896,139984896,0
multiply-187,128,4577.578485111039,0.0,139984896,139984896,0
multiply-190,128,4600.9003754042105,0.0,139984896,139984896,0
add-186,128,4585.85567312001,0.0,139984896,139984896,0
tanh-185,64,5012.544061612287,0.0,139984896,139984896,0
expand_dims-354,64,6.420684861032952,0.0,139984896,139984896,0
multiply-172,128,4605.934393447794,0.0,139984896,139984896,0
tuple-29,320,8.46287879056994,0.0,139984896,139984896,0
expand_dims-350,64,6.386971162485703,0.0,139984896,139984896,0
stack-28,320,4917.93976827865,0.0,139984896,139984896,0
expand_dims-27,64,6.394568915312338,0.0,139984896,139984896,0
squeeze-26,64,6.412608245975428,0.0,139984896,139984896,0
split-25,64,22313.863537424517,0.0,139984896,139984896,0
squeeze-23,64,6.361593978864355,0.0,139984896,139984896,0
squeeze-265,64,6.400505898381029,0.0,139984896,139984896,0
squeeze-288,64,6.3647440027066,0.0,139984896,139984896,0
squeeze-311,64,6.383472062970135,0.0,139984896,139984896,0
squeeze-334,64,6.660038983542178,0.0,139984896,139984896,0
tuple-22,128,6.110316438217121,0.0,139984896,139984896,0
concatenate-21,128,4666.624882318398,0.0,139984896,139984896,0
nn.dense-20,128,8271.677195709304,0.0,139984896,139984896,0
add-19,128,4695.697271480698,0.0,139984896,139984896,0
add-18,128,4701.189938465875,0.0,139984896,139984896,0
split-17,64,18718.030433687924,0.0,139984896,139984896,0
sigmoid-15,64,5019.586183115042,0.0,139984896,139984896,0
sigmoid-245,64,4975.979054075065,0.0,139984896,139984896,0
sigmoid-252,64,4972.077947153847,0.0,139984896,139984896,0
tanh-254,64,4981.586594736633,0.0,139984896,139984896,0
multiply-244,128,4554.4803211223525,0.0,139984896,139984896,0
multiply-251,128,4598.845251778095,0.0,139984896,139984896,0
add-243,128,4605.639796773035,0.0,139984896,139984896,0
tanh-242,64,5007.245355497448,0.0,139984896,139984896,0
multiply-14,128,4594.246798675745,0.0,139984896,139984896,0
tuple-264,128,6.163906584549116,0.0,139984896,139984896,0
concatenate-263,128,4650.460022026431,0.0,139984896,139984896,0
nn.dense-262,128,8177.763586763618,0.0,139984896,139984896,0
add-261,128,4701.238227864499,0.0,139984896,139984896,0
add-260,128,4704.516854249528,0.0,139984896,139984896,0
split-259,64,17715.922980528245,0.0,139984896,139984896,0
sigmoid-257,64,4971.584367452578,0.0,139984896,139984896,0
sigmoid-272,64,4969.657656328749,0.0,139984896,139984896,0
sigmoid-275,64,4969.004608209646,0.0,139984896,139984896,0
tanh-277,64,4941.900821924546,0.0,139984896,139984896,0
multiply-271,128,4574.5935921726095,0.0,139984896,139984896,0
multiply-274,128,4595.379725464289,0.0,139984896,139984896,0
add-270,128,4599.6257682664045,0.0,139984896,139984896,0
tanh-269,64,4997.198271265052,0.0,139984896,139984896,0
multiply-256,128,4578.658036065544,0.0,139984896,139984896,0
tuple-287,128,6.10122364867669,0.0,139984896,139984896,0
concatenate-286,128,4699.600014465152,0.0,139984896,139984896,0
nn.dense-285,128,8184.841483759118,0.0,139984896,139984896,0
add-284,128,4712.675125613956,0.0,139984896,139984896,0
add-283,128,4692.425114122165,0.0,139984896,139984896,0
split-282,64,18612.776267713845,0.0,139984896,139984896,0
sigmoid-280,64,4969.0152094768155,0.0,139984896,139984896,0
sigmoid-295,64,4949.412252277173,0.0,139984896,139984896,0
sigmoid-298,64,5002.62255989559,0.0,139984896,139984896,0
tanh-300,64,4961.954865800652,0.0,139984896,139984896,0
multiply-294,128,4605.61552497294,0.0,139984896,139984896,0
multiply-297,128,4553.484512850559,0.0,139984896,139984896,0
add-293,128,4563.567493611343,0.0,139984896,139984896,0
tanh-292,64,4880.095015147343,0.0,139984896,139984896,0
multiply-279,128,4607.461470358477,0.0,139984896,139984896,0
tuple-310,128,6.106309415018232,0.0,139984896,139984896,0
concatenate-309,128,4606.624440102381,0.0,139984896,139984896,0
nn.dense-308,128,8275.463016693571,0.0,139984896,139984896,0
add-307,128,4652.799339168531,0.0,139984896,139984896,0
add-306,128,4675.5932063109885,0.0,139984896,139984896,0
split-305,64,17789.299271629065,0.0,139984896,139984896,0
sigmoid-303,64,4989.895145954757,0.0,139984896,139984896,0
sigmoid-318,64,4974.184374782929,0.0,139984896,139984896,0
sigmoid-321,64,4965.495397479235,0.0,139984896,139984896,0
tanh-323,64,4991.828846046451,0.0,139984896,139984896,0
multiply-317,128,4597.10176497992,0.0,139984896,139984896,0
multiply-320,128,4559.252171535342,0.0,139984896,139984896,0
add-316,128,4561.49276026808,0.0,139984896,139984896,0
tanh-315,64,4930.326656915287,0.0,139984896,139984896,0
multiply-302,128,4585.887595352391,0.0,139984896,139984896,0
tuple-333,128,6.10984595211439,0.0,139984896,139984896,0
concatenate-332,128,4706.104685576842,0.0,139984896,139984896,0
nn.dense-331,128,8171.311732205379,0.0,139984896,139984896,0
add-330,128,4687.016379528831,0.0,139984896,139984896,0
add-329,128,4626.20340196165,0.0,139984896,139984896,0
split-328,64,17776.121784423496,0.0,139984896,139984896,0
sigmoid-326,64,4984.260562946917,0.0,139984896,139984896,0
sigmoid-341,64,4979.665763246399,0.0,139984896,139984896,0
sigmoid-344,64,4938.076742183157,0.0,139984896,139984896,0
tanh-346,64,4987.683940040171,0.0,139984896,139984896,0
