op_name,op_time,op_proportion
strided_slice,15794.017971668447,1.005654%
split,295514.48283761257,18.816313%
squeeze,140.18356337971503,0.008926%
tuple,84.70574450624258,0.005393%
concatenate,83990.62829150195,5.347941%
nn.dense,214822.20038746935,13.678388%
add,472310.93052508973,30.073485%
sigmoid,156794.85150146935,9.983609%
multiply,156991.3633794043,9.996121%
tanh,78286.21594977955,4.984723%
subtract,78455.18942394774,4.995482%
expand_dims,25.452776658429975,0.001621%
stack,17312.54048965394,1.102343%
