op_name,op_time,op_proportion
strided_slice,9329.621958497424,0.612930%
split,467564.15882895904,30.717670%
squeeze,141.448905761603,0.009293%
tuple,84.89735357938575,0.005578%
concatenate,43353.59936679606,2.848211%
nn.dense,408389.88784704346,26.830084%
add,291197.7569836051,19.130886%
sigmoid,100558.6012217256,6.606421%
multiply,94974.88745386366,6.239587%
tanh,50083.0856692978,3.290320%
subtract,47468.87542024458,3.118574%
expand_dims,25.633112259015142,0.001684%
stack,8961.763090705394,0.588763%
