op_name,op_time,op_proportion
strided_slice,13542.990663750634,0.961213%
split,275622.9806886307,19.562327%
squeeze,140.28017925291786,0.009956%
tuple,86.25688666997483,0.006122%
concatenate,62428.54442706363,4.430863%
nn.dense,210531.6111123708,14.942470%
add,418876.07754982414,29.729708%
sigmoid,137518.97264634483,9.760402%
multiply,138256.91836274962,9.812778%
tanh,68856.74628748871,4.887104%
subtract,69094.54368422586,4.903982%
expand_dims,25.55560351080924,0.001814%
stack,13966.345761556824,0.991261%
