op_name,op_time,op_proportion
strided_slice,6329.327141323877,0.783228%
split,309390.10427925864,38.285761%
squeeze,154.29805759278753,0.019094%
tuple,77.52719023889071,0.009594%
concatenate,28988.59358010277,3.587220%
nn.dense,66300.93903406149,8.204470%
add,197047.67876552575,24.383845%
sigmoid,63032.86831145979,7.800060%
multiply,65203.71985855969,8.068694%
tanh,31613.99661925987,3.912103%
subtract,33381.815126027715,4.130863%
expand_dims,28.386123919572317,0.003513%
stack,6558.243472088876,0.811556%
