op_name,op_time,op_proportion
split,238348.8056685439,14.514291%
strided_slice,33330.4619403239,2.029664%
squeeze,154.99659967751202,0.009439%
tuple,221.4073060256973,0.013483%
concatenate,328873.7585713277,20.026824%
nn.dense,111420.65898437597,6.784980%
add,238270.45324055967,14.509520%
sigmoid,252368.8695109209,15.368046%
tanh,171075.24469028576,10.417656%
multiply,250911.55099244072,15.279302%
expand_dims,38.477700515615616,0.002343%
stack,17151.632546909124,1.044452%
