op_name,op_time,op_proportion
split,426217.06999621046,14.031490%
strided_slice,19533.01773250659,0.643046%
squeeze,153.83907960374273,0.005065%
tuple,221.86922256499614,0.007304%
concatenate,152338.42766820107,5.015133%
nn.dense,1872738.3894256915,61.652412%
add,167494.15748486493,5.514074%
sigmoid,144384.24811964392,4.753273%
tanh,90891.47923850056,2.992238%
multiply,152547.53337138626,5.022017%
expand_dims,38.43352313682905,0.001265%
stack,11016.732616320947,0.362682%
